번호,종목코드,종목명,산업카테고리,시가총액(억),현재 PER,추정 PER,전년 영업이익,추정 영업이익,추정 ROE,부채비율,이익성장률,DeltaPER
0,051600,한전KPS,전기유틸리티,25695.0,20.68,17.0,1401.0,1839.0,11.27,26.58,0.3126338329764453,3.6799999999999997
0,001450,현대해상,손해보험,25873.0,2.66,4.0,12610.0,12610.0,20.6,877.79,0.0,-1.3399999999999999
0,008770,호텔신라,백화점과일반상점,25197.0,,28.0,135.0,1692.0,7.94,220.14,11.533333333333333,
0,112610,씨에스윈드,에너지장비및서비스,25092.0,72.3,14.0,3203.0,3030.0,14.89,167.68,-0.054011863877614696,58.3
0,018670,SK가스,가스유틸리티,24995.0,10.61,10.0,4428.0,4684.0,8.69,155.42,0.057813911472448076,0.6099999999999994
0,305720,KODEX 2차전지산업,,24990.0,,,,,,,,
0,026960,동서,식품,24576.0,16.96,16.96,453.0,453.0,8.48,3.52,0.0,0.0
0,488080,TIGER 반도체TOP10레버리지,,24643.0,,,,,,,,
0,140410,메지온,식품,24466.0,,,-168.0,-168.0,-110.43,470.09,0.0,
0,097230,HJ중공업,건설,24470.0,44.79,44.79,671.0,2170.0,24.83,266.36,2.2339791356184797,0.0
0,449170,TIGER KOFR금리액티브(합성),,24457.0,,,,,,,,
0,011210,현대위아,자동차부품,24367.0,24.61,16.0,2044.0,2392.0,4.29,72.8,0.1702544031311155,8.61
0,192820,코스맥스,화장품,24174.0,19.64,17.0,1958.0,2326.0,23.11,247.1,0.1879468845760981,2.6400000000000006
